Coordinates                        293  339  418  476  548  608  620  947 1001 1234 1253 1316 1570 4099 4104
            (S, O1)               1413.19 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.03 0.00 0.00 0.05 0.47 0.46 0.00 0.00
            (S, O2)                958.08 0.00 0.01 0.00 0.00 0.00 0.02 0.04 0.44 0.53 0.00 0.00 0.04 0.00 0.00 0.00
            (S, O3)                958.08 0.00 0.01 0.00 0.00 0.00 0.02 0.04 0.44 0.53 0.00 0.00 0.04 0.00 0.00 0.00
            (S, O4)               1413.20 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.03 0.00 0.00 0.05 0.47 0.46 0.00 0.00
           (O2, H2)               4101.69 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.50 0.50
           (O3, H1)               4101.70 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.50 0.50
        (S, O2, H2)               1235.81 0.01 0.01 0.00 0.02 0.07 0.00 0.00 0.01 0.01 0.50 0.42 0.00 0.04 0.00 0.00
        (S, O3, H1)               1235.81 0.01 0.01 0.00 0.02 0.07 0.00 0.00 0.01 0.01 0.50 0.42 0.00 0.04 0.00 0.00
        (O1, S, O2)                548.54 0.50 0.04 0.00 0.74 0.61 0.02 0.34 0.00 0.10 0.01 0.01 0.00 0.04 0.00 0.00
        (O1, S, O3)                544.23 0.25 0.02 0.80 0.20 0.59 0.06 0.44 0.00 0.08 0.01 0.00 0.00 0.04 0.00 0.00
        (O2, S, O4)                544.23 0.25 0.02 0.80 0.20 0.59 0.06 0.44 0.00 0.08 0.01 0.00 0.00 0.04 0.00 0.00
        (O3, S, O4)                548.54 0.50 0.04 0.00 0.74 0.61 0.02 0.34 0.00 0.10 0.01 0.01 0.00 0.04 0.00 0.00
        (O1, S, O4)                723.20 0.01 0.00 0.98 0.31 0.00 1.93 0.00 0.17 0.00 0.00 0.00 0.11 0.00 0.00 0.00
    (O2, S, O3, H1)                346.29 0.51 0.50 0.02 0.06 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
    (O3, S, O2, H2)                346.29 0.51 0.50 0.02 0.06 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
